"prov","date","lfsstat","in_lfp","weight","age_12","marstat","educ","efamtype","immig","schooln","is_treated_province","post","treatment_date","treatment_group"
48,2019-04-01,4,0,274,3,5,1,16,3,1,TRUE,FALSE,"2022-10-28","2022-10-28"
59,2019-04-01,4,0,225,5,1,5,6,1,1,TRUE,FALSE,"2021-11-01","2021-11-01"
48,2019-04-01,2,1,700,3,1,4,3,3,1,TRUE,FALSE,"2022-10-28","2022-10-28"
24,2019-04-01,1,1,117,3,2,1,3,3,1,TRUE,FALSE,"2022-03-23","2022-03-23"
46,2019-04-01,1,1,48,4,1,5,3,3,1,TRUE,FALSE,"2022-01-14","2022-01-14"
46,2019-04-01,4,0,134,4,1,1,6,3,1,TRUE,FALSE,"2022-01-14","2022-01-14"
48,2019-04-01,4,0,415,4,2,2,6,3,1,TRUE,FALSE,"2022-10-28","2022-10-28"
35,2019-04-01,2,1,323,4,2,4,3,3,1,TRUE,FALSE,"2023-03-28","2023-03-28"
48,2019-04-01,1,1,288,4,1,4,3,3,3,TRUE,FALSE,"2022-10-28","2022-10-28"
10,2019-04-01,1,1,111,5,1,4,9,3,1,TRUE,FALSE,"2022-03-31","2022-03-31"
11,2019-04-01,1,1,54,5,1,6,9,3,1,TRUE,FALSE,"2022-05-18","2022-05-18"
24,2019-04-01,1,1,158,4,2,4,3,3,1,TRUE,FALSE,"2022-03-23","2022-03-23"
12,2019-04-01,1,1,125,5,1,4,3,3,1,TRUE,FALSE,"2022-08-19","2022-08-19"
46,2019-04-01,2,1,155,4,1,3,3,3,1,TRUE,FALSE,"2022-01-14","2022-01-14"
35,2019-04-01,4,0,902,4,1,6,6,1,1,TRUE,FALSE,"2023-03-28","2023-03-28"
46,2019-04-01,1,1,42,5,2,2,9,3,1,TRUE,FALSE,"2022-01-14","2022-01-14"
24,2019-04-01,2,1,150,4,2,5,3,3,1,TRUE,FALSE,"2022-03-23","2022-03-23"
48,2019-04-01,1,1,759,6,2,4,9,3,1,TRUE,FALSE,"2022-10-28","2022-10-28"
12,2019-04-01,1,1,209,4,1,6,3,3,1,TRUE,FALSE,"2022-08-19","2022-08-19"
48,2019-04-01,4,0,116,3,2,3,6,3,2,TRUE,FALSE,"2022-10-28","2022-10-28"
24,2019-04-01,1,1,192,4,4,4,14,3,1,TRUE,FALSE,"2022-03-23","2022-03-23"
46,2019-04-01,4,0,166,5,1,1,6,3,1,TRUE,FALSE,"2022-01-14","2022-01-14"
48,2019-04-01,4,0,556,3,1,1,6,2,1,TRUE,FALSE,"2022-10-28","2022-10-28"
35,2019-04-01,1,1,434,5,1,5,3,3,3,TRUE,FALSE,"2023-03-28","2023-03-28"
59,2019-04-01,1,1,698,6,1,6,3,1,1,TRUE,FALSE,"2021-11-01","2021-11-01"
48,2019-04-01,1,1,136,5,1,4,3,3,1,TRUE,FALSE,"2022-10-28","2022-10-28"
35,2019-04-01,1,1,773,6,1,2,3,3,1,TRUE,FALSE,"2023-03-28","2023-03-28"
11,2019-04-01,1,1,51,5,1,5,3,3,1,TRUE,FALSE,"2022-05-18","2022-05-18"
47,2019-04-01,1,1,143,4,1,5,3,3,1,TRUE,FALSE,"2022-04-14","2022-04-14"
35,2019-04-01,2,1,145,5,6,4,14,3,1,TRUE,FALSE,"2023-03-28","2023-03-28"
12,2019-04-01,4,0,144,3,6,6,16,3,1,TRUE,FALSE,"2022-08-19","2022-08-19"
59,2019-04-01,4,0,762,3,2,4,6,3,1,TRUE,FALSE,"2021-11-01","2021-11-01"
35,2019-04-01,1,1,385,4,1,6,3,3,1,TRUE,FALSE,"2023-03-28","2023-03-28"
48,2019-04-01,1,1,63,4,1,4,9,3,1,TRUE,FALSE,"2022-10-28","2022-10-28"
24,2019-04-01,1,1,1074,3,1,2,3,3,1,TRUE,FALSE,"2022-03-23","2022-03-23"
35,2019-04-01,1,1,202,4,1,4,3,2,3,TRUE,FALSE,"2023-03-28","2023-03-28"
12,2019-04-01,1,1,134,3,1,5,3,3,1,TRUE,FALSE,"2022-08-19","2022-08-19"
47,2019-04-01,2,1,140,6,5,4,14,3,1,TRUE,FALSE,"2022-04-14","2022-04-14"
47,2019-04-01,4,0,111,3,1,3,12,3,2,TRUE,FALSE,"2022-04-14","2022-04-14"
35,2019-04-01,1,1,81,5,1,4,3,3,1,TRUE,FALSE,"2023-03-28","2023-03-28"
48,2019-04-01,3,1,587,5,1,5,6,3,1,TRUE,FALSE,"2022-10-28","2022-10-28"
24,2019-04-01,1,1,1081,4,2,4,3,3,1,TRUE,FALSE,"2022-03-23","2022-03-23"
48,2019-04-01,2,1,462,3,1,4,3,3,1,TRUE,FALSE,"2022-10-28","2022-10-28"
48,2019-04-01,1,1,529,4,1,5,3,3,1,TRUE,FALSE,"2022-10-28","2022-10-28"
24,2019-04-01,1,1,132,4,4,6,14,3,1,TRUE,FALSE,"2022-03-23","2022-03-23"
12,2019-04-01,3,1,134,5,1,4,6,3,1,TRUE,FALSE,"2022-08-19","2022-08-19"
46,2019-04-01,1,1,170,3,1,4,3,3,1,TRUE,FALSE,"2022-01-14","2022-01-14"
47,2019-04-01,1,1,121,4,1,5,3,3,1,TRUE,FALSE,"2022-04-14","2022-04-14"
46,2019-04-01,4,0,168,4,1,2,6,1,1,TRUE,FALSE,"2022-01-14","2022-01-14"
11,2019-04-01,2,1,54,3,2,5,3,3,1,TRUE,FALSE,"2022-05-18","2022-05-18"
48,2019-04-01,1,1,148,5,1,5,3,2,1,TRUE,FALSE,"2022-10-28","2022-10-28"
24,2019-04-01,1,1,245,4,2,5,3,3,1,TRUE,FALSE,"2022-03-23","2022-03-23"
48,2019-04-01,1,1,88,3,2,1,3,1,1,TRUE,FALSE,"2022-10-28","2022-10-28"
35,2019-04-01,1,1,941,4,1,4,3,2,1,TRUE,FALSE,"2023-03-28","2023-03-28"
12,2019-04-01,2,1,142,3,6,4,14,3,1,TRUE,FALSE,"2022-08-19","2022-08-19"
35,2019-04-01,4,0,415,6,4,4,16,1,2,TRUE,FALSE,"2023-03-28","2023-03-28"
59,2019-04-01,1,1,755,5,1,2,9,1,1,TRUE,FALSE,"2021-11-01","2021-11-01"
46,2019-04-01,2,1,148,4,1,5,3,3,1,TRUE,FALSE,"2022-01-14","2022-01-14"
35,2019-04-01,1,1,575,4,6,4,14,3,1,TRUE,FALSE,"2023-03-28","2023-03-28"
35,2019-04-01,1,1,478,4,1,5,3,3,1,TRUE,FALSE,"2023-03-28","2023-03-28"
47,2019-04-01,1,1,130,6,2,1,3,3,1,TRUE,FALSE,"2022-04-14","2022-04-14"
48,2019-04-01,3,1,563,5,1,5,6,1,1,TRUE,FALSE,"2022-10-28","2022-10-28"
47,2019-04-01,1,1,81,5,1,5,3,3,1,TRUE,FALSE,"2022-04-14","2022-04-14"
59,2019-04-01,1,1,127,5,1,6,3,1,1,TRUE,FALSE,"2021-11-01","2021-11-01"
35,2019-04-01,1,1,306,4,2,4,3,3,1,TRUE,FALSE,"2023-03-28","2023-03-28"
24,2019-04-01,1,1,1099,5,1,6,3,2,1,TRUE,FALSE,"2022-03-23","2022-03-23"
10,2019-04-01,4,0,89,4,1,1,6,3,1,TRUE,FALSE,"2022-03-31","2022-03-31"
48,2019-04-01,2,1,124,5,1,4,3,1,1,TRUE,FALSE,"2022-10-28","2022-10-28"
46,2019-04-01,1,1,163,5,1,6,3,3,1,TRUE,FALSE,"2022-01-14","2022-01-14"
48,2019-04-01,4,0,486,4,1,5,6,3,1,TRUE,FALSE,"2022-10-28","2022-10-28"
35,2019-04-01,2,1,286,3,1,5,3,3,1,TRUE,FALSE,"2023-03-28","2023-03-28"
35,2019-04-01,1,1,132,4,2,4,3,3,1,TRUE,FALSE,"2023-03-28","2023-03-28"
47,2019-04-01,4,0,164,3,1,1,6,3,1,TRUE,FALSE,"2022-04-14","2022-04-14"
35,2019-04-01,4,0,897,3,6,4,16,3,1,TRUE,FALSE,"2023-03-28","2023-03-28"
35,2019-04-01,4,0,255,5,1,0,6,3,1,TRUE,FALSE,"2023-03-28","2023-03-28"
35,2019-04-01,4,0,313,4,1,1,6,2,3,TRUE,FALSE,"2023-03-28","2023-03-28"
24,2019-04-01,1,1,133,4,2,5,3,3,1,TRUE,FALSE,"2022-03-23","2022-03-23"
46,2019-04-01,1,1,155,5,1,6,3,1,1,TRUE,FALSE,"2022-01-14","2022-01-14"
46,2019-04-01,1,1,105,6,1,4,3,2,1,TRUE,FALSE,"2022-01-14","2022-01-14"
24,2019-04-01,1,1,1036,5,1,4,3,2,1,TRUE,FALSE,"2022-03-23","2022-03-23"
46,2019-04-01,4,0,59,5,1,4,6,3,1,TRUE,FALSE,"2022-01-14","2022-01-14"
24,2019-04-01,1,1,156,5,2,4,3,3,1,TRUE,FALSE,"2022-03-23","2022-03-23"
47,2019-04-01,1,1,128,6,1,4,3,3,1,TRUE,FALSE,"2022-04-14","2022-04-14"
13,2019-04-01,1,1,104,4,1,4,3,3,1,TRUE,FALSE,"2022-03-18","2022-03-18"
59,2019-04-01,1,1,90,5,1,5,3,2,1,TRUE,FALSE,"2021-11-01","2021-11-01"
12,2019-04-01,1,1,184,4,1,2,3,3,3,TRUE,FALSE,"2022-08-19","2022-08-19"
48,2019-04-01,1,1,145,5,1,5,3,1,1,TRUE,FALSE,"2022-10-28","2022-10-28"
46,2019-04-01,1,1,44,4,6,5,14,3,1,TRUE,FALSE,"2022-01-14","2022-01-14"
24,2019-04-01,1,1,802,6,1,6,3,1,1,TRUE,FALSE,"2022-03-23","2022-03-23"
47,2019-04-01,1,1,156,3,1,4,3,3,1,TRUE,FALSE,"2022-04-14","2022-04-14"
12,2019-04-01,1,1,163,5,1,4,3,3,1,TRUE,FALSE,"2022-08-19","2022-08-19"
59,2019-04-01,2,1,111,4,2,1,3,3,1,TRUE,FALSE,"2021-11-01","2021-11-01"
48,2019-04-01,1,1,97,3,1,5,3,3,1,TRUE,FALSE,"2022-10-28","2022-10-28"
24,2019-04-01,2,1,171,3,2,5,3,3,1,TRUE,FALSE,"2022-03-23","2022-03-23"
24,2019-04-01,4,0,831,5,1,6,16,1,2,TRUE,FALSE,"2022-03-23","2022-03-23"
47,2019-04-01,1,1,130,4,1,4,3,3,1,TRUE,FALSE,"2022-04-14","2022-04-14"
13,2019-04-01,1,1,98,4,2,3,3,3,1,TRUE,FALSE,"2022-03-18","2022-03-18"
12,2019-04-01,4,0,211,5,1,4,6,3,2,TRUE,FALSE,"2022-08-19","2022-08-19"
35,2019-04-01,4,0,123,3,2,4,6,3,1,TRUE,FALSE,"2023-03-28","2023-03-28"
35,2019-04-01,1,1,272,5,2,5,3,3,1,TRUE,FALSE,"2023-03-28","2023-03-28"
