"prov","ym","N","rate","treated","cap_2019","cap_2023","cap_change_ratio"
10,"2019-01",145,0.751724137931034,1,6382,6288,-0.014728925101849
10,"2019-02",144,0.805555555555556,1,6382,6288,-0.014728925101849
10,"2019-03",152,0.789473684210526,1,6382,6288,-0.014728925101849
10,"2019-04",150,0.74,1,6382,6288,-0.014728925101849
10,"2019-05",144,0.756944444444444,1,6382,6288,-0.014728925101849
10,"2019-06",140,0.735714285714286,1,6382,6288,-0.014728925101849
10,"2019-07",138,0.717391304347826,1,6382,6288,-0.014728925101849
10,"2019-08",134,0.73134328358209,1,6382,6288,-0.014728925101849
10,"2019-09",135,0.681481481481481,1,6382,6288,-0.014728925101849
10,"2019-10",139,0.748201438848921,1,6382,6288,-0.014728925101849
10,"2019-11",131,0.763358778625954,1,6382,6288,-0.014728925101849
10,"2019-12",138,0.702898550724638,1,6382,6288,-0.014728925101849
10,"2020-01",136,0.808823529411765,1,6382,6288,-0.014728925101849
10,"2020-02",142,0.816901408450704,1,6382,6288,-0.014728925101849
10,"2020-03",122,0.786885245901639,1,6382,6288,-0.014728925101849
10,"2020-04",106,0.764150943396226,1,6382,6288,-0.014728925101849
10,"2020-05",104,0.788461538461539,1,6382,6288,-0.014728925101849
10,"2020-06",100,0.77,1,6382,6288,-0.014728925101849
10,"2020-07",84,0.80952380952381,1,6382,6288,-0.014728925101849
10,"2020-08",79,0.822784810126582,1,6382,6288,-0.014728925101849
10,"2020-09",81,0.814814814814815,1,6382,6288,-0.014728925101849
10,"2020-10",92,0.847826086956522,1,6382,6288,-0.014728925101849
10,"2020-11",90,0.855555555555556,1,6382,6288,-0.014728925101849
10,"2020-12",97,0.783505154639175,1,6382,6288,-0.014728925101849
10,"2021-01",107,0.775700934579439,1,6382,6288,-0.014728925101849
10,"2021-02",96,0.75,1,6382,6288,-0.014728925101849
10,"2021-03",93,0.774193548387097,1,6382,6288,-0.014728925101849
10,"2021-04",95,0.768421052631579,1,6382,6288,-0.014728925101849
10,"2021-05",95,0.757894736842105,1,6382,6288,-0.014728925101849
10,"2021-06",89,0.719101123595506,1,6382,6288,-0.014728925101849
10,"2021-07",84,0.726190476190476,1,6382,6288,-0.014728925101849
10,"2021-08",94,0.808510638297872,1,6382,6288,-0.014728925101849
10,"2021-09",98,0.836734693877551,1,6382,6288,-0.014728925101849
10,"2021-10",100,0.82,1,6382,6288,-0.014728925101849
10,"2021-11",101,0.831683168316832,1,6382,6288,-0.014728925101849
10,"2021-12",102,0.852941176470588,1,6382,6288,-0.014728925101849
10,"2022-01",127,0.850393700787402,1,6382,6288,-0.014728925101849
10,"2022-02",148,0.844594594594595,1,6382,6288,-0.014728925101849
10,"2022-03",159,0.849056603773585,1,6382,6288,-0.014728925101849
10,"2022-04",166,0.885542168674699,1,6382,6288,-0.014728925101849
10,"2022-05",158,0.879746835443038,1,6382,6288,-0.014728925101849
10,"2022-06",167,0.892215568862275,1,6382,6288,-0.014728925101849
10,"2022-07",160,0.8875,1,6382,6288,-0.014728925101849
10,"2022-08",154,0.902597402597403,1,6382,6288,-0.014728925101849
10,"2022-09",153,0.88235294117647,1,6382,6288,-0.014728925101849
10,"2022-10",158,0.930379746835443,1,6382,6288,-0.014728925101849
10,"2022-11",176,0.926136363636364,1,6382,6288,-0.014728925101849
10,"2022-12",175,0.914285714285714,1,6382,6288,-0.014728925101849
10,"2023-01",178,0.859550561797753,1,6382,6288,-0.014728925101849
10,"2023-02",167,0.832335329341317,1,6382,6288,-0.014728925101849
10,"2023-03",160,0.8625,1,6382,6288,-0.014728925101849
10,"2023-04",157,0.86624203821656,1,6382,6288,-0.014728925101849
10,"2023-05",141,0.851063829787234,1,6382,6288,-0.014728925101849
10,"2023-06",132,0.863636363636364,1,6382,6288,-0.014728925101849
10,"2023-07",145,0.827586206896552,1,6382,6288,-0.014728925101849
10,"2023-08",172,0.831395348837209,1,6382,6288,-0.014728925101849
10,"2023-09",196,0.88265306122449,1,6382,6288,-0.014728925101849
10,"2023-10",186,0.887096774193548,1,6382,6288,-0.014728925101849
10,"2023-11",197,0.862944162436548,1,6382,6288,-0.014728925101849
10,"2023-12",217,0.870967741935484,1,6382,6288,-0.014728925101849
10,"2024-01",206,0.893203883495146,1,6382,6288,-0.014728925101849
10,"2024-02",202,0.891089108910891,1,6382,6288,-0.014728925101849
10,"2024-03",180,0.866666666666667,1,6382,6288,-0.014728925101849
10,"2024-04",180,0.85,1,6382,6288,-0.014728925101849
10,"2024-05",182,0.835164835164835,1,6382,6288,-0.014728925101849
10,"2024-06",188,0.835106382978723,1,6382,6288,-0.014728925101849
10,"2024-07",183,0.819672131147541,1,6382,6288,-0.014728925101849
10,"2024-08",184,0.869565217391304,1,6382,6288,-0.014728925101849
10,"2024-09",194,0.891752577319588,1,6382,6288,-0.014728925101849
10,"2024-10",195,0.876923076923077,1,6382,6288,-0.014728925101849
10,"2024-11",183,0.890710382513661,1,6382,6288,-0.014728925101849
10,"2024-12",188,0.888297872340426,1,6382,6288,-0.014728925101849
10,"2025-01",382,0.884816753926702,1,6382,6288,-0.014728925101849
10,"2025-03",194,0.876288659793814,1,6382,6288,-0.014728925101849
10,"2025-04",201,0.830845771144278,1,6382,6288,-0.014728925101849
10,"2025-05",191,0.81151832460733,1,6382,6288,-0.014728925101849
10,"2025-06",189,0.804232804232804,1,6382,6288,-0.014728925101849
10,"2025-07",187,0.759358288770054,1,6382,6288,-0.014728925101849
11,"2019-01",116,0.801724137931034,1,3645,3830,0.0507544581618656
11,"2019-02",106,0.80188679245283,1,3645,3830,0.0507544581618656
11,"2019-03",111,0.846846846846847,1,3645,3830,0.0507544581618656
11,"2019-04",119,0.773109243697479,1,3645,3830,0.0507544581618656
11,"2019-05",118,0.771186440677966,1,3645,3830,0.0507544581618656
11,"2019-06",118,0.830508474576271,1,3645,3830,0.0507544581618656
11,"2019-07",110,0.854545454545454,1,3645,3830,0.0507544581618656
11,"2019-08",120,0.841666666666667,1,3645,3830,0.0507544581618656
11,"2019-09",103,0.83495145631068,1,3645,3830,0.0507544581618656
11,"2019-10",108,0.861111111111111,1,3645,3830,0.0507544581618656
11,"2019-11",107,0.785046728971963,1,3645,3830,0.0507544581618656
11,"2019-12",115,0.826086956521739,1,3645,3830,0.0507544581618656
11,"2020-01",127,0.795275590551181,1,3645,3830,0.0507544581618656
11,"2020-02",133,0.796992481203007,1,3645,3830,0.0507544581618656
11,"2020-03",133,0.774436090225564,1,3645,3830,0.0507544581618656
11,"2020-04",115,0.756521739130435,1,3645,3830,0.0507544581618656
11,"2020-05",111,0.765765765765766,1,3645,3830,0.0507544581618656
11,"2020-06",113,0.814159292035398,1,3645,3830,0.0507544581618656
11,"2020-07",101,0.792079207920792,1,3645,3830,0.0507544581618656
11,"2020-08",88,0.840909090909091,1,3645,3830,0.0507544581618656
11,"2020-09",94,0.872340425531915,1,3645,3830,0.0507544581618656
11,"2020-10",93,0.838709677419355,1,3645,3830,0.0507544581618656
11,"2020-11",106,0.849056603773585,1,3645,3830,0.0507544581618656
11,"2020-12",108,0.842592592592593,1,3645,3830,0.0507544581618656
11,"2021-01",105,0.847619047619048,1,3645,3830,0.0507544581618656
11,"2021-02",100,0.84,1,3645,3830,0.0507544581618656
11,"2021-03",92,0.891304347826087,1,3645,3830,0.0507544581618656
11,"2021-04",100,0.88,1,3645,3830,0.0507544581618656
11,"2021-05",89,0.865168539325843,1,3645,3830,0.0507544581618656
11,"2021-06",83,0.903614457831325,1,3645,3830,0.0507544581618656
11,"2021-07",85,0.870588235294118,1,3645,3830,0.0507544581618656
11,"2021-08",91,0.868131868131868,1,3645,3830,0.0507544581618656
11,"2021-09",91,0.879120879120879,1,3645,3830,0.0507544581618656
11,"2021-10",87,0.885057471264368,1,3645,3830,0.0507544581618656
11,"2021-11",85,0.870588235294118,1,3645,3830,0.0507544581618656
11,"2021-12",80,0.875,1,3645,3830,0.0507544581618656
11,"2022-01",75,0.826666666666667,1,3645,3830,0.0507544581618656
11,"2022-02",76,0.868421052631579,1,3645,3830,0.0507544581618656
11,"2022-03",86,0.813953488372093,1,3645,3830,0.0507544581618656
11,"2022-04",80,0.775,1,3645,3830,0.0507544581618656
11,"2022-05",78,0.833333333333333,1,3645,3830,0.0507544581618656
11,"2022-06",72,0.805555555555556,1,3645,3830,0.0507544581618656
11,"2022-07",67,0.776119402985075,1,3645,3830,0.0507544581618656
11,"2022-08",70,0.828571428571429,1,3645,3830,0.0507544581618656
11,"2022-09",63,0.777777777777778,1,3645,3830,0.0507544581618656
11,"2022-10",76,0.842105263157895,1,3645,3830,0.0507544581618656
11,"2022-11",79,0.822784810126582,1,3645,3830,0.0507544581618656
11,"2022-12",82,0.853658536585366,1,3645,3830,0.0507544581618656
11,"2023-01",91,0.89010989010989,1,3645,3830,0.0507544581618656
11,"2023-02",101,0.871287128712871,1,3645,3830,0.0507544581618656
11,"2023-03",109,0.825688073394495,1,3645,3830,0.0507544581618656
11,"2023-04",104,0.855769230769231,1,3645,3830,0.0507544581618656
11,"2023-05",97,0.855670103092783,1,3645,3830,0.0507544581618656
11,"2023-06",102,0.872549019607843,1,3645,3830,0.0507544581618656
11,"2023-07",108,0.796296296296296,1,3645,3830,0.0507544581618656
11,"2023-08",106,0.867924528301887,1,3645,3830,0.0507544581618656
11,"2023-09",96,0.875,1,3645,3830,0.0507544581618656
11,"2023-10",104,0.865384615384615,1,3645,3830,0.0507544581618656
11,"2023-11",110,0.863636363636364,1,3645,3830,0.0507544581618656
11,"2023-12",96,0.864583333333333,1,3645,3830,0.0507544581618656
11,"2024-01",96,0.833333333333333,1,3645,3830,0.0507544581618656
11,"2024-02",90,0.833333333333333,1,3645,3830,0.0507544581618656
11,"2024-03",86,0.825581395348837,1,3645,3830,0.0507544581618656
11,"2024-04",86,0.86046511627907,1,3645,3830,0.0507544581618656
11,"2024-05",92,0.83695652173913,1,3645,3830,0.0507544581618656
11,"2024-06",98,0.877551020408163,1,3645,3830,0.0507544581618656
11,"2024-07",95,0.873684210526316,1,3645,3830,0.0507544581618656
11,"2024-08",94,0.872340425531915,1,3645,3830,0.0507544581618656
11,"2024-09",91,0.857142857142857,1,3645,3830,0.0507544581618656
11,"2024-10",86,0.895348837209302,1,3645,3830,0.0507544581618656
11,"2024-11",88,0.875,1,3645,3830,0.0507544581618656
11,"2024-12",89,0.887640449438202,1,3645,3830,0.0507544581618656
11,"2025-01",178,0.842696629213483,1,3645,3830,0.0507544581618656
11,"2025-03",82,0.804878048780488,1,3645,3830,0.0507544581618656
11,"2025-04",84,0.797619047619048,1,3645,3830,0.0507544581618656
11,"2025-05",90,0.822222222222222,1,3645,3830,0.0507544581618656
11,"2025-06",90,0.844444444444444,1,3645,3830,0.0507544581618656
11,"2025-07",92,0.869565217391304,1,3645,3830,0.0507544581618656
12,"2019-01",201,0.741293532338309,1,12951,13037,0.00664041386765501
12,"2019-02",205,0.746341463414634,1,12951,13037,0.00664041386765501
12,"2019-03",196,0.75,1,12951,13037,0.00664041386765501
12,"2019-04",184,0.733695652173913,1,12951,13037,0.00664041386765501
12,"2019-05",192,0.744791666666667,1,12951,13037,0.00664041386765501
12,"2019-06",215,0.767441860465116,1,12951,13037,0.00664041386765501
12,"2019-07",204,0.774509803921569,1,12951,13037,0.00664041386765501
12,"2019-08",212,0.787735849056604,1,12951,13037,0.00664041386765501
12,"2019-09",201,0.776119402985075,1,12951,13037,0.00664041386765501
12,"2019-10",205,0.809756097560976,1,12951,13037,0.00664041386765501
12,"2019-11",203,0.798029556650246,1,12951,13037,0.00664041386765501
12,"2019-12",198,0.813131313131313,1,12951,13037,0.00664041386765501
12,"2020-01",194,0.788659793814433,1,12951,13037,0.00664041386765501
12,"2020-02",188,0.787234042553191,1,12951,13037,0.00664041386765501
12,"2020-03",177,0.779661016949152,1,12951,13037,0.00664041386765501
12,"2020-04",169,0.763313609467456,1,12951,13037,0.00664041386765501
12,"2020-05",163,0.779141104294479,1,12951,13037,0.00664041386765501
12,"2020-06",156,0.83974358974359,1,12951,13037,0.00664041386765501
12,"2020-07",159,0.811320754716981,1,12951,13037,0.00664041386765501
12,"2020-08",141,0.808510638297872,1,12951,13037,0.00664041386765501
12,"2020-09",153,0.790849673202614,1,12951,13037,0.00664041386765501
12,"2020-10",160,0.79375,1,12951,13037,0.00664041386765501
12,"2020-11",166,0.813253012048193,1,12951,13037,0.00664041386765501
12,"2020-12",159,0.811320754716981,1,12951,13037,0.00664041386765501
12,"2021-01",160,0.8375,1,12951,13037,0.00664041386765501
12,"2021-02",164,0.835365853658537,1,12951,13037,0.00664041386765501
12,"2021-03",163,0.852760736196319,1,12951,13037,0.00664041386765501
12,"2021-04",154,0.818181818181818,1,12951,13037,0.00664041386765501
12,"2021-05",158,0.822784810126582,1,12951,13037,0.00664041386765501
12,"2021-06",170,0.805882352941176,1,12951,13037,0.00664041386765501
12,"2021-07",164,0.792682926829268,1,12951,13037,0.00664041386765501
12,"2021-08",164,0.768292682926829,1,12951,13037,0.00664041386765501
12,"2021-09",161,0.782608695652174,1,12951,13037,0.00664041386765501
12,"2021-10",168,0.785714285714286,1,12951,13037,0.00664041386765501
12,"2021-11",168,0.779761904761905,1,12951,13037,0.00664041386765501
12,"2021-12",166,0.783132530120482,1,12951,13037,0.00664041386765501
12,"2022-01",165,0.836363636363636,1,12951,13037,0.00664041386765501
12,"2022-02",187,0.834224598930481,1,12951,13037,0.00664041386765501
12,"2022-03",188,0.856382978723404,1,12951,13037,0.00664041386765501
12,"2022-04",179,0.798882681564246,1,12951,13037,0.00664041386765501
12,"2022-05",168,0.839285714285714,1,12951,13037,0.00664041386765501
12,"2022-06",172,0.819767441860465,1,12951,13037,0.00664041386765501
12,"2022-07",167,0.766467065868264,1,12951,13037,0.00664041386765501
12,"2022-08",177,0.785310734463277,1,12951,13037,0.00664041386765501
12,"2022-09",177,0.785310734463277,1,12951,13037,0.00664041386765501
12,"2022-10",172,0.784883720930233,1,12951,13037,0.00664041386765501
12,"2022-11",177,0.807909604519774,1,12951,13037,0.00664041386765501
12,"2022-12",185,0.816216216216216,1,12951,13037,0.00664041386765501
12,"2023-01",190,0.826315789473684,1,12951,13037,0.00664041386765501
12,"2023-02",179,0.837988826815642,1,12951,13037,0.00664041386765501
12,"2023-03",181,0.81767955801105,1,12951,13037,0.00664041386765501
12,"2023-04",179,0.810055865921788,1,12951,13037,0.00664041386765501
12,"2023-05",172,0.773255813953488,1,12951,13037,0.00664041386765501
12,"2023-06",172,0.802325581395349,1,12951,13037,0.00664041386765501
12,"2023-07",164,0.810975609756098,1,12951,13037,0.00664041386765501
12,"2023-08",154,0.785714285714286,1,12951,13037,0.00664041386765501
12,"2023-09",151,0.814569536423841,1,12951,13037,0.00664041386765501
12,"2023-10",160,0.825,1,12951,13037,0.00664041386765501
12,"2023-11",169,0.810650887573965,1,12951,13037,0.00664041386765501
12,"2023-12",179,0.798882681564246,1,12951,13037,0.00664041386765501
12,"2024-01",190,0.773684210526316,1,12951,13037,0.00664041386765501
12,"2024-02",207,0.811594202898551,1,12951,13037,0.00664041386765501
12,"2024-03",225,0.795555555555556,1,12951,13037,0.00664041386765501
12,"2024-04",216,0.777777777777778,1,12951,13037,0.00664041386765501
12,"2024-05",210,0.776190476190476,1,12951,13037,0.00664041386765501
12,"2024-06",211,0.781990521327014,1,12951,13037,0.00664041386765501
12,"2024-07",185,0.789189189189189,1,12951,13037,0.00664041386765501
12,"2024-08",170,0.811764705882353,1,12951,13037,0.00664041386765501
12,"2024-09",172,0.808139534883721,1,12951,13037,0.00664041386765501
12,"2024-10",173,0.76878612716763,1,12951,13037,0.00664041386765501
12,"2024-11",171,0.812865497076023,1,12951,13037,0.00664041386765501
12,"2024-12",170,0.794117647058824,1,12951,13037,0.00664041386765501
12,"2025-01",348,0.810344827586207,1,12951,13037,0.00664041386765501
12,"2025-03",188,0.792553191489362,1,12951,13037,0.00664041386765501
12,"2025-04",197,0.807106598984772,1,12951,13037,0.00664041386765501
12,"2025-05",203,0.807881773399015,1,12951,13037,0.00664041386765501
12,"2025-06",207,0.816425120772947,1,12951,13037,0.00664041386765501
12,"2025-07",195,0.78974358974359,1,12951,13037,0.00664041386765501
13,"2019-01",222,0.833333333333333,1,14024,14026,0.000142612664004564
13,"2019-02",198,0.797979797979798,1,14024,14026,0.000142612664004564
13,"2019-03",197,0.776649746192894,1,14024,14026,0.000142612664004564
13,"2019-04",196,0.811224489795918,1,14024,14026,0.000142612664004564
13,"2019-05",195,0.820512820512821,1,14024,14026,0.000142612664004564
13,"2019-06",183,0.830601092896175,1,14024,14026,0.000142612664004564
13,"2019-07",178,0.786516853932584,1,14024,14026,0.000142612664004564
13,"2019-08",195,0.846153846153846,1,14024,14026,0.000142612664004564
13,"2019-09",202,0.856435643564357,1,14024,14026,0.000142612664004564
13,"2019-10",210,0.838095238095238,1,14024,14026,0.000142612664004564
13,"2019-11",196,0.801020408163265,1,14024,14026,0.000142612664004564
13,"2019-12",194,0.798969072164949,1,14024,14026,0.000142612664004564
13,"2020-01",195,0.815384615384615,1,14024,14026,0.000142612664004564
13,"2020-02",181,0.812154696132597,1,14024,14026,0.000142612664004564
13,"2020-03",165,0.757575757575757,1,14024,14026,0.000142612664004564
13,"2020-04",161,0.732919254658385,1,14024,14026,0.000142612664004564
13,"2020-05",159,0.767295597484277,1,14024,14026,0.000142612664004564
13,"2020-06",154,0.857142857142857,1,14024,14026,0.000142612664004564
13,"2020-07",148,0.837837837837838,1,14024,14026,0.000142612664004564
13,"2020-08",149,0.852348993288591,1,14024,14026,0.000142612664004564
13,"2020-09",156,0.858974358974359,1,14024,14026,0.000142612664004564
13,"2020-10",146,0.794520547945205,1,14024,14026,0.000142612664004564
13,"2020-11",154,0.837662337662338,1,14024,14026,0.000142612664004564
13,"2020-12",154,0.798701298701299,1,14024,14026,0.000142612664004564
13,"2021-01",157,0.789808917197452,1,14024,14026,0.000142612664004564
13,"2021-02",170,0.764705882352941,1,14024,14026,0.000142612664004564
13,"2021-03",174,0.78735632183908,1,14024,14026,0.000142612664004564
13,"2021-04",184,0.815217391304348,1,14024,14026,0.000142612664004564
13,"2021-05",177,0.864406779661017,1,14024,14026,0.000142612664004564
13,"2021-06",165,0.884848484848485,1,14024,14026,0.000142612664004564
13,"2021-07",152,0.894736842105263,1,14024,14026,0.000142612664004564
13,"2021-08",163,0.877300613496933,1,14024,14026,0.000142612664004564
